财经指数,url,数据公布机构,发布频率,数据影响,数据释义,统计方法,关注原因,金银影响
美国实际GDP年化季率终值,http://www.kxt.com/data/gdp+cqoq+indext.html, 美国经济分析局, 每月一次,"实际值>预期值=利好美元
",国内生产总值（Gross Domestic Product，简称GDP），是指在一定时期内(一个季度或一年)，一个国家或地区的经济中所生产出的全部最终产品和劳务的价值，常被公认为衡量国家经济状况的最佳指标。它不但可反映一个国家的经济表现，更可以反映一国的国力与财富。, 国内生产总值中所有商品和服务的年化变量,一国的GDP大幅增长，反映出该国经济发展蓬勃，国民收入增加，消费能力也随之增强。在这种情况下，该国中央银行将 有可能提高利率，紧缩货币供应，国家经济表现良好及利率的上升会增加该国货币的吸引力。反过来说，如果一国的GDP出负增长，显示该国经济处于衰退状 态，消费能力减低。这时该国中央银行将可能减息以刺激经济再度增长，利率下降加上经济表现不振，该国货币的吸引力也就随之而减低了。因此，一般来说，高经济增长率会推动本国货币汇率的上涨，而低经济增长率则会造成该国货币汇率下跌。,利空
美国当周API原油库存,http://www.kxt.com/data/usoiac%3deci.html, 美国石油协会(API), 每周三公布,"数据
",测量了每周的美国公司的商业原油库存的桶数变化。, 基于官方数据——美国能源资料协会(EIA)提供的每周原油库存变化数据,库存的数目影响了可以对通货膨胀和其他经济影响力造成影响的成品油的价格。而原油和成品油价格都会对美国这个该产品的重大消费国经济产生重要影响，也会对原油主要出口国加拿大的货币加元产生重要影响。,利空
美国Markit制造业PMI终值,http://www.kxt.com/data/mpmiusma+indexf.html, 市场调查公司Markit, 每个月一次,"公布值>预测值=利好美元
",市场调查公司Markit对600名左右的经理人进行调查，内容包括受访者对就业、产出、新订单、价格、库存等方面的评估。, 调查约600家制造类企业,是反映经济状况的领先指标，因企业能对市场环境迅速做出反应。外汇投资者通过观察这类数据的变化，对美国经济前景作出判断，进而影响到汇市走势。,利空
美国ISM制造业PMI,http://www.kxt.com/data/napmpmi+index.html, 美国供应管理协会, 每月,"实际值>预期值=利好美元
",ISM指数ISM指数是由美国供应管理协会（the Institute for Supply Management）公布的重要数据，对反映美国经济繁荣度及美元走势均有重要影响。, 基于制造业采购经理人调查的指数,是经济健康与否的先行指标，商业能迅速对市场条件作出反应，采购经理人对其公司经济状况的看法或许是最及时和相关的。,利空
美国营建支出月率,http://www.kxt.com/data/cnsttmom+index.html,美国商务部,每月,"数据>预期=利好美元
",指当期全国用于基本建设方面的支出总额。美国商务部公布的营建支出数据包括三个方面的主要内容：A.非居民基建支出；B.居民基建支出；C.公共设施基础建设支出。,建筑商花费在营建项目上总量的变化,营建支出是衡量每个月私部门（即民间）建筑，和公部门（政府单位）公共建设之营建工程总值，因为这个项目占GDP很大的比重，故在估算及修正GDP时很受到重视。,利空
美国当周石油钻井总数,http://www.kxt.com/data/bakeoil+index.html, 著名油服贝克休斯, 每周六公布,"数据
",测量了每周的北美各地区石油钻井平台的数量变化。,由贝克休斯公司每周对美国、加拿大地区的石油钻井活动进行统计。,石油钻井平台数量的变化影响市场对全球原油供应情况的反应，若石油钻井平台增加，则会增加市场对供应过剩情况的担忧，油价将会下跌；反之，油价将会走高。,利空
美国核心PCE物价指数月率,http://www.kxt.com/data/pce+cmom+index.html, 美国商务部, 每月,"公布值>预测值=利好美元
",PCE是个人消费支出平减指数(CTPIPCE)的缩写，个人消费支出平减指数（personal consumption deflator/Personal Consumption Expenditure Price Deflator；PCE）由美国商务部经济分析局最先推出，并于2002年被美联储的决策机构联邦公开市场委员会(FOMC)采纳为衡量通货膨胀的一个主要指标。, 公布月率和年率数据,2012年1月，美联储将核心PCE年率涨幅2%定为长期通胀目标，从此宣告美联储也有了明确的通胀目标。如果核心PCE年率升幅超过2%，美联储会紧缩货币政策，对美元有利。,利空
美国个人支出月率,http://www.kxt.com/data/pce+crch+index.html, 美国商务部, 每月,"实际值>预期值=利好货币
",美国商务部 个人收入(Personal Income)指一个国家一年内个人年得到的全部收入。个人从各种途径所获得的收入的总和，包括工资、租金收入、股利股息及社会福利等所收取得来的收入。反映了该国个人的实际购买力水平，预示了未来消费者对于商品、服务等需求的变化。,消费者经所有渠道获得总收入的变化，公布月率数据,消费水平经常作为衡量消费者乐观情绪的指标。也被认为是考量经济增长的指标：当个人开支增加伴随着通胀压力的增大，将增加美联储加息的预期。,利空
美国芝加哥PMI,http://www.kxt.com/data/chpmindx+index.html,美国采购经理人协会芝加哥分会,每月,"实际值>预期值=利好美元
",它是反映制造业在生产、订单、价格、雇员、交货等各方面综合发展状况的晴雨表。芝加哥采购经理人指数是全美采购经理人指数最重要的一部分，它通常在全美采购经理人指数公布之前公布，市场也往往会就芝加哥采购经理人的表现来对全国采购经理人指数做出预期。,基于芝加哥采购经理人调查的一系列指数,芝加哥采购经理人指数是以百分比来表示，常以50%作为经济强弱的分界点：即当指数高于50%时，被被认为是制造业的扩张，当指数低于50%，尤其是非常接近40%时，则有经济萧条的忧虑。芝加哥采购经理人指数也是领先指标中一项非常重要的附属指针，市场较为看重该数据。,利空
美国实际个人消费支出月率,http://www.kxt.com/data/pce+chnc+index.html, 美国商务部, 每月,"实际值>预期值=利好美元
",美国商务部 个人收入(Personal Income)指一个国家一年内个人年得到的全部收入。个人从各种途径所获得的收入的总和，包括工资、租金收入、股利股息及社会福利等所收取得来的收入。反映了该国个人的实际购买力水平，预示了未来消费者对于商品、服务等需求的变化。,消费者经所有渠道获得总收入的变化，公布月率数据,消费水平经常作为衡量消费者乐观情绪的指标。也被认为是考量经济增长的指标：当个人开支增加伴随着通胀压力的增大，将增加美联储加息的预期。,利空
美国核心PCE物价指数年化季率终值,http://www.kxt.com/data/gdpcpcec+indext.html,美国商务部,每季度,"公布值>预测值=利好美元
",美国商务部 PCE对应中文“个人消费支出”；核心PCE物价指数是衡量美国民间消费通胀的关键指标，它由美国商务部经济分析局最先推出，并于2002年被美联储的决策机构联邦公开市场委员会(FOMC)采纳为衡量通货膨胀的一个主要指标。,公布月率和年率数据,2012年1月，美联储将核心PCE年率涨幅2%定为长期通胀目标，从此宣告美联储也有了明确的通胀目标。如果核心PCE年率升幅超过2%，美联储会紧缩货币政策，对美元有利，利多利空金银油铜；反之，利空金银油铜。,利多
美国成屋签约销售指数月率,http://www.kxt.com/data/usphtmom+index.html, 全美地产经纪商协会(NAR), 每月,"数据>预期=利好美元
",该数据比成屋销售数据大约晚一周时间公布，但该指标更具前瞻性，因签约后数周时间才能算入成屋销售环节中。该指数上升，暗示美国房产市场正在改善。该来源于2005年3月首次公布该数据。, 对那些签署了协议但仍在等待结束交易的房屋数量变动进行统计，不包含新建工程。,是美国经济健康状况的领先性指标，因房屋销售将带来广泛的连锁反应。比如，装修房屋、从融资银行进行抵押贷款活动、执行交易时能给中介公司带来收益。,利空
美国成屋签约销售指数,http://www.kxt.com/data/usnar%3deci.html, 全美地产经纪商协会(NAR), 每月,"数据>预期=利好美元
",该数据比成屋销售数据大约晚一周时间公布，但该指标更具前瞻性，因签约后数周时间才能算入成屋销售环节中。该指数上升，暗示美国房产市场正在改善。该来源于2005年3月首次公布该数据。, 对那些签署了协议但仍在等待结束交易的房屋数量变动进行统计，不包含新建工程。,是美国经济健康状况的领先性指标，因房屋销售将带来广泛的连锁反应。比如，装修房屋、从融资银行进行抵押贷款活动、执行交易时能给中介公司带来收益。,利空
美国批发销售月率,http://www.kxt.com/data/mwslchng+index.html, 美国商业统计局, 每月公布一次,"实际值>预期值=利好美元、利空金银
",批发商是制造商和零售商的中间商，是商业领域的缓冲环节。, 批发销售物品总价值的变动，公布月率数据,批发销售领域的趋势通常能说明其它经济领域的状况，经济学家通常会利用这一数据来对GDP进行预测。,利空
美国里奇蒙德联储制造业指数,http://www.kxt.com/data/rchsindx+index.html, 里奇蒙德联储, 每月,"实际值>预期值=利好美元
",调查里奇蒙德地区约100家制造商，内容包括：制造业装船、新订单和就业等方面的评估。, 基于里奇蒙德地区制造业调查的一系列综合指数,指数高于零，表明该地区制造业在扩张，利好美元。但数据影响较小，因之前已经有地区性制造业指数公布。,利空
美国耐用品订单月率,http://www.kxt.com/data/dgnochng+indexp.html, 美国商务部, 每月,"实际值>预期值=利好美元
",代表未来一个月内，对不易耗损的物品订购数量，该数据反映了制造业活动情况，就定义而言，订单泛指有意购买、而预期马上交运或在未来交运的商品交易。市场也较注重扣除国防部门用品及运输部门用品后数据的变化情况，因剔除这两项之后的数据，被用以衡量商业投资。, 制造业购买耐用品新订单总价值的变化，公布月率数据,为生产的领先指标，订单的上市意味着制造业活动的增加，利好美元。,利空
美国新屋销售年化月率,http://www.kxt.com/data/nhslchng+index.html, 美国商务部, 每月,"实际值>预期值=利好美元
",新屋销售数据（New Home Sales）由商务部经济分析局每月28日~下个月的4日之间公布一次。它是经济活动的先行指标。新屋销售也叫预售屋销售，它是指签订出售合约的房屋数量，美国新屋销售每月由商务部月底公布上月销售情况。,签订出售合约的房屋数量,为经济健康与否的领先指标，因房屋销售触发广泛的影响。例如，购房者购买家具和电器，金融银行出售抵押凭证，以及中介收费等。,利空
美国成屋销售总数年化,http://www.kxt.com/data/etsltotl+index.html,美国全国房地产经纪人协会,每月,"实际值>预期值=利好美元
",美国成屋销售（Existing Home Sales）。美国房地产行业协会研究部每月接收650多个房地产经纪人组织和协会及全国多元报价系统关于单一家庭成屋销售情况的数据。,前一个月居住房屋销售的年化数据，不包括新建筑,为经济健康与否的领先指标，因房屋销售触发广泛的 影响。例如，新的房屋拥有者装修，金融银行出售抵押凭证，以及中介收费等,利空
美国GDP平减指数终值,http://www.kxt.com/data/gdp+piqq+indext.html,美国商务部,季报，每季度第一个月的28日公布上一季度初值，第二、三个月25日前后分别公布修正值和终值。,"公布值>预测值=利好美元
",GDP即英文gross domestic product的缩写，也就是国内生产总值。通常对GDP的定义为：一定时期内（一个季度或一年），一个国家或地区的经济中所生产出的全部最终产品和提供劳务的市场价值的总值,一定时期内经济总值的变化, GDP平减指数是衡量通货膨胀的关键指标。一国的GDP大幅增长，反映出该国经济发展蓬勃，国民收入增加，消费能力也随之增强。在这种情况下，该国央行将有可能提高利率，紧缩货币供应，国家经济表现良好及利率的上升会增加该国货币的吸引力。,利空
美国PPI月率,http://www.kxt.com/data/fdidfdmo+index.html,美国劳工局,每月,"实际值>预期值=利好美元
",生产者物价指数(PPI)，主要用于衡量各种商品在不同生产阶段的价格变化情况，与消费者物价指数(CPI)一样，通常作为观察通货膨胀水平的重要指标。,生产商销售的成品和服务价格的变动,为消费者通胀的领先指标，当生产者对产品和服务收费较高时，较高的成本通胀会传导给消费者。,利空
美国密歇根大学消费者信心指数初值,http://www.kxt.com/data/conssent+indexp.html,密歇根大学,每月,"实际值>预期值=利好美元
",密歇根大学消费者信心指数(The University of Michigan consumer confidence index)为美国密歇根大学研究人员对消费者关于个人财务状况和国家经济状况的看法进行定期调查并进行的相应评估。,基于消费者调查的一系列综合指数,金融市场信心是消费者支出的领先指标，占经济活动中大部分。密歇根大学消费者信心指数与消费者支出之间的相关性更为密切。如果消费者信心上升，债券市场将之视为利空，价格下跌；股票市场则通常视之为利好。美元汇率通常从联储寻求暗示，若消费者信心上升，则意味着消费增长，经济走强，联储可能会提高利率，那美元就会相应走强。,利空
美国季调后CPI月率,http://www.kxt.com/data/cpi+chng+index.html,美国劳工部,每月,"公布值>预测值=利好美元
",消费物价指数英文缩写为CPI，是根据与居民生活有关的产品及劳务价格统计出来的物价变动指标，通常作为观察通货膨胀水平的重要指标。,统计消费者购买的商品和服务的价格变化，公布月率和年率,是衡量美国通胀的重要指标之一，美联储参考该数据调整货币政策，进而影响短期内美元汇率走势。,利空
美国零售销售月率,http://www.kxt.com/data/rstamom+index.html, 美国商务部, 每月,"公布值>预测值=利好美元
",零售销售（Retail Sale），是零售销售数额的统计汇总，包括所有主要从事零售业务的商店以现金或信用形式销售的商品价值总额。服务业所发生的费用不包括在零售销售中。, 统计上个月零售销售变化，公布月率数据,零售数据对于判定一国的经济现状和前景具有重要指导作用，因为零售销售直接反映出消费者支出的增减变化。,利空
美国纽约联储制造业指数,http://www.kxt.com/data/emprgbci+index.html,纽约联储,每月,"实际值>预期值=利好美元
",纽约联储制造业指数（NY Empire State Index）是纽约联储公布的指标。制造业指数是经济学中的一个重要指数，它与消费者价格指数、生产者价格指数、工业生产指数等共同构成宏观经济的晴雨表。,基于对纽约制造商调查的一系列指数,为经济健康与否的领先指标，商业对市场条件反应迅速，商业信心的改变可被视为未来经济活动的较早的信号，如支出，雇佣情况和投资。,利空
美国新屋开工总数年化,http://www.kxt.com/data/nhspstot+index.html, 美国商务部, 每月,"实际值>预期值=利好美元
",新屋开工，Housing Starts用以衡量私有住屋破土动工的数目，以及在三、四个月后也将化身为新屋开工之营建许可数目的变化，地区别的数据同时也提供。, 始于前一个月的新建住宅的年化数量,为经济健康与否的领先指标，因其有广泛的影响。例如，为建筑工人及检查人员提供就业岗位，并且建筑商提供不同的建筑服务,利空
美国营建许可月率,http://www.kxt.com/data/nhchatch+index.html, 美国商务部, 每月,"实际值>预期值=利好美元
",营建许可，指建筑项目开工前，需获得有关部门的许可，只有获得了许可，才可开工建设。, 始于前一个月的新建住宅的年化数量,营建许可是一项领先指标，预示未来房地产建筑行业的运行方向。若营建许可增加，预示未来房产市场活跃，对美元有利。,利空
美国工业产出月率 ,http://www.kxt.com/data/ip+chng+index.html,美联储,每月,"实际值>预期值=利好美元
",工业生产(Industrial production index)是衡量制造业、矿业与公共事业的实质产出重要的经济指标，工作生产指数是反应一个国家经济周期变化的主要标志。,制造商，矿商和实体经通胀调整后产出总价值的变动,为经济健康状况的领先指标，生产对商业周期的起伏反应迅速，并与消费者支出、就业等诸多行业关系密切。若工业产出上升，利好美元。,利空
美国个人收入月率,http://www.kxt.com/data/pitlchng+index.html, 美国商务部, 每月,"实际值>预期值=利好美元
",个人收入(Personal Income)指一个国家一年内个人年得到的全部收入。个人从各种途径所获得的收入的总和，包括工资、租金收入、股利股息及社会福利等所收取得来的收入。反映了该国个人的实际购买力水平，预示了未来消费者对于商品、服务等需求的变化。, 消费者经所有渠道获得总收入的变化，公布月率数据,个人收入指标是预测个人的消费能力，未来消费者的购买动向及评估经济情况的好坏的一个有效指标。收入与支出密切相关，消费者的可用收入越多，其支出增加的几率越大，对经济越有利，对美元是利好。,利空
美国贸易帐,http://www.kxt.com/data/ustbtot+index.html,美国经济分析局,每月,"实际值>预期值=利好美元
",美国经济分析局 贸易差额是指一个国家在一定时期内出口贸易总额与进口贸易总额相比的差额。出口额大于进口额叫做“顺差”，或“盈余”或“出超”；反之，则叫“逆差”或“赤字”或“入超”。,报告当月进口商品及服务与出口商品及服务间价值的变动,美国经济分析局 贸易差额是指一个国家在一定时期内出口贸易总额与进口贸易总额相比的差额。出口额大于进口额叫做“顺差”，或“盈余”或“出超”；反之，则叫“逆差”或“赤字”或“入超”。,利空
美国当周EIA天然气库存,http://www.kxt.com/data/usoiln%3deci.html, 美国能源信息署, 每周,"无连续效果，为通胀和增长的信号
",这是一个美国指标，但对加拿大卢尼（加元昵称）影响很大，因加拿大能源业规模很大。, 过去一周地下天然气库存数量的变化,对外汇市场影响有限。天然气库存的增减，如果影响到原油市场的涨跌，可能会对加元产生影响。,利空
美国当周EIA汽油库存,http://www.kxt.com/data/doeasmgs+index.html, 美国能源信息署, 每周三公布,"数据
",测量了每周的美国公司的商业原油库存的变化。, 过去一周商业公司原油库存的变化,这是一个美国指标，库存的增减，会影响到原油价格，进而对加元产生影响，因加拿大原油出口占经济比重大。影响大于美国石油学会的每周原油库存变化。,利多
美国当周EIA精炼油库存,http://www.kxt.com/data/doeasdis+index.html, 美国能源信息署, 每周三公布,"数据
",测量了每周的美国公司的商业原油库存的变化。, 过去一周商业公司原油库存的变化,这是一个美国指标，库存的增减，会影响到原油价格，进而对加元产生影响，因加拿大原油出口占经济比重大。影响大于美国石油学会的每周原油库存变化。,利多
美国当周EIA精炼厂设备利用变动率,http://www.kxt.com/data/doeautil+index.html, 美国能源信息署, 每周三公布,"数据
",测量了每周的美国公司的商业原油库存的变化。, 过去一周商业公司原油库存的变化,这是一个美国指标，库存的增减，会影响到原油价格，进而对加元产生影响，因加拿大原油出口占经济比重大。影响大于美国石油学会的每周原油库存变化。,利多
美国当周EIA原油产量引伸需求数据,http://www.kxt.com/data/doidcrud+index.html,美国能源信息署,周报，每周三公布截至上周五的数据(若遇美国公共假期，推迟一天公布),"数据
",美国能源信息署 测量了每周的美国公司的商业原油库存的变化。,过去一周商业公司原油库存的变化,库存的水平影响到石油产品的价格，对于通胀以及其他经济力量有影响，因此该数据被广泛关注。,利多
美国挑战者企业裁员人数,http://www.kxt.com/data/uschal%3deci.html, 美国就业咨询公司挑战者, 每月,"实际值
",总部位于芝加哥的就业资讯公司Challenger，GrayChristmasInc，通过对企业的裁员情况调查，每月公布裁员统计数据，反映就业市场的变化趋势。, 雇主宣布裁员数量的变化,裁员人数的变化，反映了企业用工情况的好坏。若裁员人数增加，显示就业市场恶化，对美元不利。在美国劳工部官方非农就业报告公布前一天公布，但对市场影响不及提前非农就业数据两天公布的ADP就业报告。,利多
美国挑战者裁员年率,http://www.kxt.com/data/chalyoy%25+index.html,美国就业咨询公司挑战者,每月,"公布值>预期值，利空美元，利多非美。
",反映就业市场的变化趋势,总部位于芝加哥的就业资讯公司Challenger，GrayChristmasInc，通过对企业的裁员情况调查，每月公布裁员统计数据。,裁员人数的变化，反映了企业用工情况的好坏。若裁员人数增加，显示就业市场恶化，对美元不利。在美国劳工部官方非农就业报告公布前一天公布，但对市场影响不及提前非农就业数据两天公布的ADP就业报告。,利多
美国S&P/CS20座大城市房价指数年率,http://www.kxt.com/data/spcs20y%25+index.html,标准普尔公司,月报，每月最后一周的周二公布上上月数据,"实际值>预期值=利好美元
",标准普尔公司 统计美国20座大城市和10座大城市的房价变化，以衡量美国房地产市场的健康状况。,20个大城市单个家庭房屋销售价格变动，公布月率和年率,此报告是衡量美国房屋市场景气的重要指标。,利空
美国谘商会消费者信心指数,http://www.kxt.com/data/concconf+index.html,美国咨商会,每月,"实际值>预期值=利好美元
",谘商会消费者信心指数的波动性更大，这也降低了该指数作为消费者态度晴雨表的可靠性。环境因素中，以劳动市场状況与股市表现对消费者信心指数的影响力最深，消费者对两者有较敏感的反应。,基于家庭调查的一系列综合指数,对5000户家庭对当前和未来经济条件看法的调查，其中包括劳动有效性，商业条件和总体经济环境。,利空
美国达拉斯联储商业活动指数,http://www.kxt.com/data/dfedgba+index.html,达拉斯市联邦储备银行,每月,"数据>预期=利好美元
",该数据位于0上方表示该领域处于扩张，反之意味着衰退。分项数据包括：产能利用率、新订单、原材料支付价格、装船、制成品价格、就业指数。该区域制造业产品出口主要集中在能源生产和电子产品方面。,对德克萨斯地区制造商的数据进行统计,该区域制造业出口占美国制造业出口的很大一部分份额。而制造业又是美国经济的龙头行业，能从某种程度上反映美国经济的动向。,利空
美国扣除运输的耐用品订单月率,http://www.kxt.com/data/dgnoxtch+index.html,美国商务部,每月,"公布值>预测值=利好美元
",预代表未来一个月内，对不易耗损的物品订购数量，该数据反映了制造业活动情况，就定义而言，订单泛指有意购买、而预期马上交运或在未来交运的商品交易。,统计一个月内，对不易耗损的物品订购数量,由于该统计数据包括了国防部门用品及运输部门用品，这些用品均为高价产品，这两个部门数据变化对整体数据有很大的影响，故市场也较注重扣除国防部门用品及运输部门用品后数据的变化情况。,利空
美国成屋销售年化月率,http://www.kxt.com/data/etslmom+index.html,美国全国房地产经纪人协会,每月,"实际值>预期值=利好美元
",美国成屋销售（Existing Home Sales）。美国房地产行业协会研究部每月接收650多个房地产经纪人组织和协会及全国多元报价系统关于单一家庭成屋销售情况的数据。,前一个月居住房屋销售的年化数据，不包括新建筑,为经济健康与否的领先指标，因房屋销售触发广泛的 影响。例如，新的房屋拥有者装修，金融银行出售抵押凭证，以及中介收费等,利空
美国当周红皮书商业零售销售年率,http://www.kxt.com/data/usredy%3deci.html, 美国红皮书研究机构(Redbook Research), 每周二公布,"实际值>预期值=利好美元
",美国红皮书研究机构(Redbook Research)统计一周内的连锁店销售，反映消费支出水平。, 统计一周内零售店的销售变化率，公布周率与年率,因消费占美国经济比重近2/3，故反映零售销售的数据被广为重视。数据好坏将预示未来消费对经济的推动作用。,利多
美国当周红皮书商业零售销售月率,http://www.kxt.com/data/usredm%3deci.html, 美国红皮书研究机构(Redbook Research), 每周二公布,"实际值>预期值=利好美元
",美国红皮书研究机构(Redbook Research)统计一周内的连锁店销售，反映消费支出水平。, 统计一周内零售店的销售变化率，公布周率与年率,因消费占美国经济比重近2/3，故反映零售销售的数据被广为重视。数据好坏将预示未来消费对经济的推动作用。,利多
美国芝加哥联储全国活动指数,http://www.kxt.com/data/cfnai+index.html,芝加哥联储,每月,"公布值>预测值=利好美元
",芝加哥联储的全国活动指数是由85个全国经济活动指标加权平均而成的一项全国性经济活动指标。主要搜集四个主要分类资料，包含1) 生产及收入；2) 就业、失业及时薪；3) 个人消费及住房情况；4) 销售、订购及存货情况。,由85个全国经济活动指标加权平均而成的一项全国性经济活动指标,芝加哥联储全国活动指数，以衡量美国经济活动，探寻美国经济发展状况。若此数值小于0时，表示经济扩张呈现低于平均的成长速度，对美元不利；若大于0时，则表示经济涨幅为大于平均的成长速度，对美元有利。,利空
美国当周API汽油库存,http://www.kxt.com/data/usoiag%3deci.html, 美国石油协会(API), 每周三公布,"数据
",测量了每周的美国公司的商业原油库存的桶数变化。, 基于官方数据——美国能源资料协会(EIA)提供的每周原油库存变化数据,库存的数目影响了可以对通货膨胀和其他经济影响力造成影响的成品油的价格。而原油和成品油价格都会对美国这个该产品的重大消费国经济产生重要影响，也会对原油主要出口国加拿大的货币加元产生重要影响。,利多
美国当周API库欣原油库存,http://www.kxt.com/data/usapic%3deci.html, 美国石油协会(API), 每周三公布,"数据
",测量了每周的美国公司的商业原油库存的桶数变化。, 基于官方数据——美国能源资料协会(EIA)提供的每周原油库存变化数据,库存的数目影响了可以对通货膨胀和其他经济影响力造成影响的成品油的价格。而原油和成品油价格都会对美国这个该产品的重大消费国经济产生重要影响，也会对原油主要出口国加拿大的货币加元产生重要影响。,利多
